company,ticker,cik,cusip,,
1 800 FLOWERS COM INC,FLWS,1084869,68243Q106,,
"10X GENOMICS, INC.",TXG,1770787,88025u109,,
"111, INC.",YI,1738906,68247Q201,,
1606 CORP.,CBDW,1877461,000361105,,
17 EDUCATION & TECHNOLOGY GROUP INC.,YQ,1821468,266042407,,
180 DEGREE CAPITAL CORP. /NY/,TURN,893739,68235B208,,
"1812 BREWING COMPANY, INC.",KEGS,884380,100557107,,
"1895 BANCORP OF WISCONSIN, INC. /MD/",BCOW,1847360,723561106,,
1RT ACQUISITION CORP.,ONCH,2054272,296424104,,
1RT ACQUISITION CORP.,ONCHU,2054272,296424104,,
1RT ACQUISITION CORP.,ONCHW,2054272,296424104,,
1ST SOURCE CORP,SRCE,34782,336901103,,
"1STDIBS.COM, INC.",DIBS,1600641,320551104,,
1WS CREDIT INCOME FUND,OWSCX,1748680,50208A102,,
21SHARES ETHEREUM ETF,TETH,1992508,46436e460,,
"22ND CENTURY GROUP, INC.",XXII,1347858,90137F509,,
3 E NETWORK TECHNOLOGY GROUP LTD,MASK,1993097,G67927114,,
36KR HOLDINGS INC.,KRKR,1779476,88429K202,,
374WATER INC.,SCWO,933972,88583P104,,
3D SYSTEMS CORP,DDD,910638,759419104,,
3I GROUP PLC,TGOPF,1078716,88579n105,,
3M CO,MMM,66740,88579Y101,,
"4D MOLECULAR THERAPEUTICS, INC.",FDMT,1650648,35104E100,,
51TALK ONLINE EDUCATION GROUP,COE,1659494,16954L204,,
"5E ADVANCED MATERIALS, INC.",FEAM,1888654,33830Q208,,
"5E ADVANCED MATERIALS, INC.",FEAV,1888654,33830Q208,,
"60 DEGREES PHARMACEUTICALS, INC.",SXTP,1946563,83006G401,,
"60 DEGREES PHARMACEUTICALS, INC.",SXTPW,1946563,83006G401,,
707 CAYMAN HOLDINGS LTD.,JEM,2018222,G1890L107,,
"89BIO, INC.",ETNB,1785173,282559103,,
8X8 INC /DE/,EGHT,1023731,282914100,,
908 DEVICES INC.,MASS,1555279,65443P102,,
9F INC.,JFU,1619544,315616102,,
"A-MARK PRECIOUS METALS, INC.",AMRK,1591588,00181T907,,
A.K.A. BRANDS HOLDING CORP.,AKA,1865107,00152K200,,
"A10 NETWORKS, INC.",ATEN,1580808,002121901,,
A2Z CUST2MATE SOLUTIONS CORP.,AZ,1866030,002205102,,
AA MISSION ACQUISITION CORP.,AAM,2012964,G8431T101,,
AA MISSION ACQUISITION CORP.,AAM-UN,2012964,G8431T101,,
AA MISSION ACQUISITION CORP.,AAM-WT,2012964,G8431T101,,
AA MISSION ACQUISITION CORP. II,YCY,2075336,G8431T101,,
AAK AB/ADR,ARHUF,2008315,045387107,,
"AAON, INC.",AAON,824142,000360206,,
AAR CORP,AIR,1750,000361905,,
